product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
M,4.008914,5.645653,1.636740,0.239978,0.366454,0.126476,-0.023333,-0.022631,0.000702,232.000000,243.000000,11.000000,0.047414,0.594828,0.621399,0.026572,0.465753,0.484018,0.018265
FU,4.772749,5.869373,1.096624,1.955786,4.087516,2.131730,-0.195379,-0.036216,0.159163,437.000000,355.000000,-82.000000,-0.187643,0.556064,0.566197,0.010133,0.657778,0.657778,0.000000
Y,3.081456,3.910181,0.828725,0.212151,0.277342,0.065191,-0.023926,-0.013253,0.010673,328.000000,361.000000,33.000000,0.100610,0.518293,0.526316,0.008023,0.534247,0.543379,0.009132
B,3.967105,4.444506,0.477401,0.287637,0.352538,0.064901,-0.034227,-0.031982,0.002245,193.000000,225.000000,32.000000,0.165803,0.580311,0.595556,0.015245,0.479452,0.520548,0.041096
SN,6.261967,6.419289,0.157323,1.304312,1.525785,0.221473,-0.021618,-0.019913,0.001706,359.000000,351.000000,-8.000000,-0.022284,0.618384,0.641026,0.022641,0.547893,0.567050,0.019157
JD,6.255656,6.391635,0.135980,0.396733,0.438357,0.041624,-0.008261,-0.010028,-0.001767,352.000000,327.000000,-25.000000,-0.071023,0.571023,0.584098,0.013075,0.497717,0.474886,-0.022831
BB,2.164645,2.164645,0.000000,0.912835,0.912835,0.000000,-0.120202,-0.120202,0.000000,120.000000,120.000000,0.000000,0.000000,0.316667,0.316667,0.000000,0.127854,0.127854,0.000000
FB,-0.035835,-0.035835,0.000000,-0.008978,-0.008978,0.000000,-0.106583,-0.106583,0.000000,410.000000,410.000000,0.000000,0.000000,0.448780,0.448780,0.000000,0.347032,0.347032,0.000000
RU,4.139123,3.517365,-0.621758,0.641476,0.457559,-0.183916,-0.046306,-0.038949,0.007357,544.000000,594.000000,50.000000,0.091912,0.518382,0.515152,-0.003231,0.557078,0.529680,-0.027397
